age,income,gender,education,id
56,32695,M,PhD,1
46,78190,F,High School,2
32,35258,M,PhD,3
60,117538,M,PhD,4
25,69504,M,Master,5
38,63159,F,High School,6
56,43986,F,PhD,7
36,91858,M,PhD,8
40,42666,F,Bachelor,9
28,68660,F,PhD,10
28,33561,F,PhD,11
41,56854,F,Bachelor,12
53,94505,F,Master,13
57,82251,M,PhD,14
41,52662,F,Bachelor,15
20,38392,M,High School,16
39,60535,M,Master,17
19,108603,F,High School,18
41,82256,M,High School,19
61,119135,M,Bachelor,20
47,65222,M,PhD,21
55,107373,F,Bachelor,22
19,109575,F,Bachelor,23
38,114651,M,Bachelor,24
50,93335,F,Bachelor,25
29,40965,F,Master,26
39,54538,F,PhD,27
61,100592,F,High School,28
42,38110,M,High School,29
44,109309,M,PhD,30
59,57266,F,High School,31
45,82992,F,PhD,32
33,112948,M,High School,33
32,36910,M,Bachelor,34
64,30206,F,High School,35
61,117054,M,PhD,36
20,117897,F,PhD,37
54,53419,F,PhD,38
24,80636,M,PhD,39
38,80015,M,PhD,40
26,84268,F,Master,41
56,117939,F,Master,42
35,48141,M,High School,43
21,110356,F,PhD,44
42,101910,M,High School,45
31,86044,F,PhD,46
26,97214,M,PhD,47
43,63827,M,Master,48
19,85820,M,Master,49
37,92623,F,Bachelor,50
45,111734,F,Master,51
64,105450,M,Bachelor,52
24,52299,F,Bachelor,53
61,73585,M,Bachelor,54
25,94044,M,Bachelor,55
64,72557,F,Bachelor,56
52,79080,F,High School,57
31,32693,M,Master,58
34,99163,F,Bachelor,59
53,55939,F,PhD,60
57,78925,M,Master,61
21,72941,M,Master,62
19,51834,F,Bachelor,63
23,48047,M,High School,64
59,56105,M,Bachelor,65
21,105766,F,High School,66
46,45707,M,PhD,67
35,51976,M,Master,68
43,74262,F,PhD,69
61,53776,F,High School,70
51,60080,M,High School,71
27,96842,M,PhD,72
53,91373,F,High School,73
31,36776,F,PhD,74
48,85016,F,Master,75
32,39474,F,PhD,76
25,88053,M,Master,77
31,51959,F,PhD,78
40,35530,F,High School,79
57,33748,M,PhD,80
38,43545,F,High School,81
33,96199,M,PhD,82
62,64766,F,PhD,83
35,103530,F,Bachelor,84
64,91087,F,High School,85
41,98840,M,Bachelor,86
43,84384,M,High School,87
42,81005,F,Bachelor,88
62,76576,M,Master,89
58,69353,M,PhD,90
46,92003,M,High School,91
32,113211,M,High School,92
62,82733,M,PhD,93
18,95318,M,High School,94
42,119474,F,High School,95
24,53664,F,Bachelor,96
26,97172,M,High School,97
41,115616,F,Master,98
18,56736,F,Master,99
61,30854,F,PhD,100
